word,accent,infltype1,subtype
подогреться,7,12,греть
пригреть,6,12,греть
прогреть,6,12,греть
прогреться,6,12,греть
разогреть,7,12,греть
разогреться,7,12,греть
согреть,5,12,греть
согреться,5,12,греть
угреть,4,12,греть
угреться,4,12,греть
сесть,2,7,д
воссесть,5,7,д
засесть,4,7,д
засесть,4,7,д
насесть,4,7,д
насесть,4,7,д
обсесть,4,7,д
осесть,3,7,д
отсесть,4,7,д
отсесть,4,7,д
присесть,5,7,д
присесть,5,7,д
подсесть,5,7,д
просесть,5,7,д
усесть,3,7,д
пересесть,6,7,д
рассесться,5,7,д
рассесться,5,7,д
ссесться,3,7,д
усесться,3,7,д
блюсти,6,7,д
брести,6,7,д
ввести,6,7,д
вести,5,7,д
вестись,5,7,д
взбрести,8,7,д
взвести,7,7,д
взвестись,7,7,д
вкрасться,4,7,д
возвести,8,7,д
воспроизвести,13,7,д
воспроизвестись,13,7,д
впасть,3,7,д
впрясть,4,7,д
впрясть,4,7,д
выбрести,2,7,д
вывести,2,7,д
вывестись,2,7,д
выкрасть,2,7,д
выкрасться,2,7,д
выпасть,2,7,д
выпрясть,2,7,д
грясти,6,7,д
густи,5,7,д
добрести,8,7,д
довести,7,7,д
довестись,7,7,д
допрясть,5,7,д
допрясть,5,7,д
забрести,8,7,д
завести,7,7,д
завестись,7,7,д
закрасться,5,7,д
запасть,4,7,д
запропасть,7,7,д
извести,7,7,д
известись,7,7,д
испрясть,5,7,д
испрясть,5,7,д
испрясться,5,7,д
испрясться,5,7,д
класть,3,7,д
красть,3,7,д
красться,3,7,д
наблюсти,8,7,д
навести,7,7,д
накрасть,5,7,д
напасть,4,7,д
напасть,4,7,д
напрясть,5,7,д
напрясть,5,7,д
ниспасть,5,7,д
обвести,7,7,д
обзавести,9,7,д
обзавестись,9,7,д
обокрасть,6,7,д
опасть,3,7,д
отбрести,8,7,д
отвести,7,7,д
отпасть,4,7,д
отпрясть,5,7,д
отпрясть,5,7,д
отпрясться,5,7,д
отпрясться,5,7,д
пасть,2,7,д
перебрести,10,7,д
перекрасть,7,7,д
перепасть,6,7,д
перепроизвести,14,7,д
перепрясть,7,7,д
перепрясть,7,7,д
побрести,8,7,д
повести,7,7,д
повести,7,7,д
повестись,7,7,д
повывести,4,7,д
повыпасть,4,7,д
подбрести,9,7,д
подвести,8,7,д
подкрасться,6,7,д
подпасть,5,7,д
покрасть,5,7,д
понавести,9,7,д
попасть,4,7,д
попасться,4,7,д
поспасть,5,7,д
прибрести,9,7,д
привести,8,7,д
привестись,8,7,д
припасть,5,7,д
припрясть,6,7,д
припрясть,6,7,д
пробрести,9,7,д
провести,8,7,д
произвести,10,7,д
прокрасться,6,7,д
пропасть,5,7,д
пропрясть,6,7,д
пропрясть,6,7,д
прясть,3,7,д
прясть,3,7,д
разбрестись,9,7,д
развести,8,7,д
развестись,8,7,д
раскрасть,6,7,д
распасться,5,7,д
сбрести,7,7,д
сбрестись,7,7,д
свести,6,7,д
свестись,6,7,д
скрасть,4,7,д
скрасться,4,7,д
соблюсти,8,7,д
совпасть,5,7,д
спасть,3,7,д
спасться,3,7,д
спрясть,4,7,д
спрясть,4,7,д
убрести,7,7,д
увести,6,7,д
украсть,4,7,д
упасть,3,7,д
втесаться,5,6,ё
вылежаться,2,5,ё
выметаться,2,1,ё
выметнуть,2,3,ё
вычеркнуть,2,3,ё
довоеваться,7,2,ё
дочесаться,6,6,ё
затрепаться,7,6,ё
истрепаться,7,6,ё
исхлестаться,8,6,ё
нахлестаться,8,6,ё
начесаться,6,6,ё
обтрепаться,7,6,ё
обчесаться,6,6,ё
отесаться,5,6,ё
отклепаться,7,1,ё
отчесаться,6,6,ё
перечесаться,8,6,ё
разметаться,7,6,ё
расклепаться,8,1,ё
распеленаться,9,1,ё
растесаться,7,6,ё
растрепаться,8,6,ё
расхлестаться,9,6,ё
расчесаться,7,6,ё
сверстаться,7,1,ё
склепаться,6,1,ё
уверстаться,7,1,ё
ухлестаться,7,6,ё
вымолоть,2,10,ел
вымолоться,2,10,ел
домолоть,6,10,ел
замолоть,6,10,ел
измолоть,6,10,ел
измолоться,6,10,ел
молоть,4,10,ел
намолоть,6,10,ел
обмолоть,6,10,ел
отмолоть,6,10,ел
отмолоться,6,10,ел
перемолоть,8,10,ел
перемолоться,8,10,ел
подмолоть,7,10,ел
помолоть,6,10,ел
примолоть,7,10,ел
промолоть,7,10,ел
размолоть,7,10,ел
размолоться,7,10,ел
смолоть,5,10,ел
смолоться,5,10,ел
ввезти,6,7,з
вгрызться,4,7,з
везти,5,7,з
везти,5,7,з
взвезти,7,7,з
взлезть,4,7,з
влезть,3,7,з
вползти,7,7,з
всползти,8,7,з
вывезти,2,7,з
выгрызть,2,7,з
вылезти,2,7,з
вылезть,2,7,з
выползти,2,7,з
грызть,3,7,з
грызться,3,7,з
довезти,7,7,з
догрызть,5,7,з
долезть,4,7,з
доползти,8,7,з
завезти,7,7,з
загрызть,5,7,з
залезть,4,7,з
заползти,8,7,з
изгрызть,5,7,з
лезть,2,7,з
навезти,7,7,з
нагрызть,5,7,з
нагрызться,5,7,з
надгрызть,6,7,з
налезть,4,7,з
наползти,8,7,з
обвезти,7,7,з
обгрызть,5,7,з
облезть,4,7,з
облезть,4,7,з
обползти,8,7,з
огрызть,4,7,з
оползти,7,7,з
оползти,7,7,з
отвезти,7,7,з
отверзтись,4,7,з
отверзтись,4,7,з
отверзть,4,7,з
отгрызть,5,7,з
отгрызться,5,7,з
отлезть,4,7,з
отползти,8,7,з
перевезти,9,7,з
перевести,9,7,з
перевестись,9,7,з
перегрызть,7,7,з
перегрызться,7,7,з
перелезть,6,7,з
переползти,10,7,з
повезти,7,7,з
повезти,7,7,з
погрызть,5,7,з
погрызться,5,7,з
подвезти,8,7,з
подгрызть,6,7,з
подлезть,5,7,з
подползти,9,7,з
полезть,4,7,з
ползти,6,7,з
понавезти,9,7,з
поналезть,6,7,з
поползти,8,7,з
привезти,8,7,з
прилезть,5,7,з
приползти,9,7,з
провезти,8,7,з
прогрызть,6,7,з
прогрызться,6,7,з
пролезть,5,7,з
проползти,9,7,з
развезти,8,7,з
разгрызть,6,7,з
разлезться,5,7,з
расползтись,9,7,з
свезти,6,7,з
сгрызть,4,7,з
слезть,3,7,з
сползти,7,7,з
сползтись,7,7,з
увезти,6,7,з
угрызть,4,7,з
улезть,3,7,з
уползти,7,7,з
выгнить,2,12,и
гнить,3,12,и
догнить,5,12,и
загнить,5,12,и
изгнить,5,12,и
нагнить,5,12,и
надгнить,6,12,и
обгнить,5,12,и
опочить,5,12,и
отгнить,5,12,и
перегнить,7,12,и
погнить,5,12,и
подгнить,6,12,и
почить,4,12,и
почить,4,12,и
прогнить,6,12,и
сгнить,4,12,и
внять,3,14,им
воспринять,8,14,им
заснять,5,14,им
наснять,5,14,им
обнять,4,14,им
обняться,4,14,им
отнять,4,14,им
отняться,4,14,им
отснять,5,14,им
переснять,7,14,им
пересняться,7,14,им
поднять,5,14,им
поднять,5,14,им
подняться,5,14,им
подняться,5,14,им
приподнять,5,14,им
приподнять,5,14,им
приподняться,5,14,им
приподняться,5,14,им
разнять,5,14,им
разняться,5,14,им
снять,3,14,им
сняться,3,14,им
толочь,4,8,к
втолочь,5,8,к
затолочь,6,8,к
истолочь,6,8,к
натолочь,6,8,к
перетолочь,8,8,к
подтолочь,7,8,к
потолочь,6,8,к
протолочь,7,8,к
растолочь,7,8,к
столочь,5,8,к
утолочь,5,8,к
толочься,4,8,к
затолочься,6,8,к
истолочься,6,8,к
перетолочься,8,8,к
потолочься,6,8,к
столочься,5,8,к
утолочься,5,8,к
вволочь,5,8,к
взволочь,6,8,к
вовлечь,5,8,к
вовлечься,5,8,к
волочь,4,8,к
волочься,4,8,к
впечь,3,8,к
втечь,3,8,к
выволочь,2,8,к
выпечь,2,8,к
выпечься,2,8,к
высечь,2,8,к
высечь,2,8,к
высечься,2,8,к
вытечь,2,8,к
доволочь,6,8,к
доволочься,6,8,к
допечь,4,8,к
допечься,4,8,к
дотечь,4,8,к
завлечь,5,8,к
завлечься,5,8,к
заволочь,6,8,к
заволочься,6,8,к
запечь,4,8,к
запечься,4,8,к
заречься,4,8,к
засечь,4,8,к
засечь,4,8,к
засечь,4,8,к
засечься,4,8,к
затечь,4,8,к
извлечь,5,8,к
извлечься,5,8,к
изречь,4,8,к
испечь,4,8,к
испечься,4,8,к
иссечь,4,8,к
иссечься,4,8,к
истечь,4,8,к
навлечь,5,8,к
наволочь,6,8,к
наволочь,6,8,к
напечь,4,8,к
напечься,4,8,к
наречь,4,8,к
наречься,4,8,к
насечь,4,8,к
натечь,4,8,к
недопечь,6,8,к
обволочь,6,8,к
обволочься,6,8,к
обречь,4,8,к
обречься,4,8,к
обсечь,4,8,к
обсечься,4,8,к
