word,accent,gram,infltype,label,forms
сойти,5,"свнп@в/в""9"":_буд._сойдУ,-ёт;_прош._сошёл,-шлА,-шЕдший//_устар._сшЕдший$сходИть",,,
сойтись,5,"св@в/в""9"":_буд._сойдУсь,-ётся;_прош._сошёлся,-шлАсь,-шЕдшийся$сходИться",,,
уйти,4,"свнп@в/в""9"":_буд._уйдУ,-ёт;_прош._ушёл,-шлА,-шЕдший$уходИть",,,
идти,4,"нсвнп@в/в:_наст._идУ,идёт;_прош._шёл,шлА,шЕдший",,,
идтись,4,"нсв@в/в,безл.:_наст._идётся;_прош._шлОсь",,,
быть,2,"нсвнп@а/с:_наст._бУду,бУдешь,бУдет,бУдем,бУдете,бУдут;_повел._бУдь;_прич.наст.нет_;_деепр._бУдучи;_прош._бЫл,-А,-о,-и%небыл,небыло,небыли(_но_небылА);нибыл,нибыло,нибыли(_но_нибылА)",,,
выбыть,2,"свнп@а:_буд._вЫбуду,-ет;_повел._-ь;_прош._вЫбыл,-а$III",,,
добыть,4,"св@а/с[""1""]:_буд._добУду,-ет;_повел._-ь;_прош._добЫл,-а,-о,-и[//добыл,-а,-о,-и],добЫвший;_прич.страд._добЫтый(_кф_добыт,-а,-о,-ы)//добытый(_кф_добыт,-а,-о,-ы)$III",,,
забыть,4,"св@а:_буд._забУду,-ет;_повел._-ь;_прош._забЫл,-а;_прич.страд._забЫтый$III",,,
избыть,4,"св@а/с:_буд._избУду,-ет;_повел._-ь;_прош._избЫл,-А,-о,-и;_прич.страд._избЫтый(_кф_избЫт,-А//а,-о,-ы)$III",,,
отбыть,4,"св@а/с[""1""]:_буд._отбУду,-ет;_повел._-ь;_прош._отбЫл,-А,-о,-и[//отбыл,-а,-о,-и],отбЫвший;_прич.страд._отбЫтый(_кф_отбыт,-а,-о,-ы)//отбытый(_кф_отбыт,-а,-о,-ы)$III",,,
побыть,4,"свнп@а/с[""1""]:_буд._побУду,-ет;_повел._-ь;_прош._побЫл,-А,-о,-и[//побыл,-а,-о,-и],побЫвший",,,
пробыть,5,"свнп@а/с[""1""]:_буд._пробУду,-ет;_повел._-ь;_прош._пробЫл,-А,-о,-и[//пробыл,-а,-о,-и],пробЫвший",,,
подзабыть,7,"св@а:_буд._подзабУду,-ет;_повел._-ь;_прош._подзабЫл,-а;_прич.страд._подзабЫтый$III",,,
пребыть,5,"свнп@а/с:_буд._пребУду,-ет;_повел._-ь;_прош._пребЫл,-А",,,
прибыть,5,"свнп@а/с""1"":_буд._прибУду,-ет;_повел._-ь;_прош._прибЫл,-А,-о,-и,прибывший$III",,,
раздобыть,7,"св@а:_буд._раздобУду,-ет;_повел._-ь;_прош._раздобЫл,-а;_прич.страд._раздобЫтый$III",,,
сбыть,3,"св@а/с:_буд._сбУду,-ет;_повел._-ь;_прош._сбЫл,-А,-о,-и;_прич.страд._сбЫтый(_кф_сбЫт,-А//а,-о,-ы)$III",,,
позабыть,6,"св@а:_буд._позабУду,-ет;_повел._-ь;_прош._позабЫл,-а;_прич.страд._позабЫтый$III",,,
убыть,3,"свнп@а/с""1"":_буд._убУду,-ет;_повел._-ь;_прош._Убыл,-А,-о,-и,убЫвший$III",,,
избыться,4,"св@а/с'':_буд._избудусь,-ется;_повел._-ься;_прош._избЫлся,-ась,-ось//-Ось,-ись//-Ись$III",,,
позабыться,6,"св@а:_буд._позабУдусь,-ется;_повел._-ься;_прош._позабЫлся,-ась;$III",,,
